Course Title,Credits,Prerequisites,Concurrent Enrollment,Major
HMP 5710 - Financial Aspects of Health Care,Credit(s): 3 Credits,HMP 5700,NaN,Health Management and Policy (HMP)
HMP 5720 - Government Financing of Health Care,Credit(s): 3 Credits,"HMP 5300, HMP 5500",NaN,Health Management and Policy (HMP)
HMP 5725 - Health Insurance and Managed Care,Credit(s): 3 Credits (Repeatable for credit),HMP 5000,NaN,Health Management and Policy (HMP)
HMP 5800 - Strategic Management in Health Care Organizations,Credit(s): 3 Credits,NaN,NaN,Health Management and Policy (HMP)
HMP 5810 - Six Sigma Green Belt,Credit(s): 3 Credits,HMP 5000,NaN,Health Management and Policy (HMP)
HMP 5820 - Health Care Project Management,Credit(s): 3 Credits,NaN,NaN,Health Management and Policy (HMP)
HMP 5900 - Health Management and Policy Rounds,Credit(s): 0.5-2 Credits (Repeatable up to 2 credits),NaN,NaN,Health Management and Policy (HMP)
HMP 5910 - HMP Internship,Credit(s): 1 Credit (Repeatable for credit),NaN,NaN,Health Management and Policy (HMP)
HMP 5930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Health Management and Policy (HMP)
HMP 5950 - Special Study for Exams,Credit(s): 0 Credits (Repeatable for credit),NaN,NaN,Health Management and Policy (HMP)
HMP 5960 - Capstone Seminar in Health Management & Policy,Credit(s): 3 Credits,NaN,NaN,Health Management and Policy (HMP)
HMP 5970 - Research Topics in Health Management and Policy,Credit(s): 1-3 Credits,NaN,NaN,Health Management and Policy (HMP)
HMP 5980 - Graduate Reading in Health Management and Policy,Credit(s): 1-3 Credits,NaN,NaN,Health Management and Policy (HMP)
HSCI 1000 - Introduction to Health Sciences,Credit(s): 1 Credit,NaN,NaN,Health Sciences (HSCI)
HSCI 2000 - The US Health Care System,Credit(s): 3 Credits,NaN,NaN,Health Sciences (HSCI)
HSCI 2100 - Health Care Management,Credit(s): 3 Credits,NaN,NaN,Health Sciences (HSCI)
HSCI 2200 - Medical Terminology,Credit(s): 3 Credits,NaN,NaN,Health Sciences (HSCI)
HSCI 2500 - Human Development across the Lifespan,Credit(s): 3 Credits,NaN,NaN,Health Sciences (HSCI)
HSCI 3200 - Aspects of Health Law,Credit(s): 3 Credits,"HSCI 2000, IPE 2100",Concurrent enrollment allowed.,Health Sciences (HSCI)
HSCI 3300 - Anatomy & Physiology I,Credit(s): 3 Credits,"HSCI 2200, BIOL 1240, BIOL 1260, CHEM 1110, CHEM 1120, CHEM 1080",NaN,Health Sciences (HSCI)
HSCI 3310 - Anatomy & Physiology I Lab,Credit(s): 1 Credit,"HSCI 2200, BIOL 1240, CHEM 1110, BIOL 1260, CHEM 1120, CHEM 1080",NaN,Health Sciences (HSCI)
HSCI 3400 - Anatomy and Physiology Lecture II,Credit(s): 3 Credits,"HSCI 2200, BIOL 1240, BIOL 1260, CHEM 1110, CHEM 1120, CHEM 1080",NaN,Health Sciences (HSCI)
HSCI 3410 - Anatomy & Physiology II Lab,Credit(s): 1 Credit,"HSCI 2200, BIOL 1240, BIOL 1260, CHEM 1110, CHEM 1120, CHEM 1080",NaN,Health Sciences (HSCI)
HSCI 3510 - Physiological Processes in the Human Body,Credit(s): 3 Credits,NaN,NaN,Health Sciences (HSCI)
HSCI 3700 - Research Methods,Credit(s): 3 Credits,"MATH 1300, STAT 1300, OPM 2070, ENGL 1900, CMM 1200",Concurrent enrollment allowed.,Health Sciences (HSCI)
HSCI 3800 - Epidemiology,Credit(s): 3 Credits,NaN,NaN,Health Sciences (HSCI)
HSCI 3910 - Internship,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Health Sciences (HSCI)
HSCI 3930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Health Sciences (HSCI)
HSCI 4000 - Neuroscience in Everyday Life,Credit(s): 3 Credits,"HSCI 3300, HSCI 3310, HSCI 3400, HSCI 3410, PPY 2540, ANAT 1000",NaN,Health Sciences (HSCI)
HSCI 4100 - Healthcare Technology and Informatics,Credit(s): 3 Credits,"HSCI 2000, IPE 2100",Concurrent enrollment allowed.,Health Sciences (HSCI)
HSCI 4500 - Hot Topics in Health Care,Credit(s): 3 Credits,HSCI 3200,NaN,Health Sciences (HSCI)
HSCI 4600 - Consumer Healthcare Technology,Credit(s): 3 Credits,HSCI 3200,NaN,Health Sciences (HSCI)
HSCI 4700 - Quality Management and Performance Improvement,Credit(s): 3 Credits,"HSCI 2100, HSCI 3700, ORES 2320",NaN,Health Sciences (HSCI)
HSCI 4910 - Internship,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Health Sciences (HSCI)
HSCI 6080 - Directed IndependentStudy,Credit(s): 1 Credit,NaN,NaN,Health Sciences (HSCI)
HSCI 6220 - Foundations of Scholarly Excellence,Credit(s): 2 Credits,NaN,NaN,Health Sciences (HSCI)
HSCI 6980 - Independent Study,Credit(s): 1-3 Credits (Repeatable up to 6 credits),NaN,NaN,Health Sciences (HSCI)
HSCI 6990 - Dissertation Research,Credit(s): 0-6 Credits (Repeatable for credit),NaN,NaN,Health Sciences (HSCI)
HQI 0101 - Fundamentals of Patient Safety,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Healthcare Quality Improvement (HQI)
HQI 0201 - Fundamentals of Quality Improvement,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Healthcare Quality Improvement (HQI)
EDH 4930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
EDH 4980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
EDH 5250 - History of American Higher Education,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 5350 - Student Development Theory I,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 5360 - Student Development Theory II,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 5400 - Law and Higher Education,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 5470 - Leadership in Higher Education,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 5500 - Catholic Higher Education Administration and Leadership,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
EDH 5600 - Foundations in Higher Education,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 5640 - Social Justice and the College Student,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 5650 - Intervention Skills,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 5700 - Assessment and Evaluation in Student Affairs,Credit(s): 3 Credits,EDR 5000,NaN,Higher Education Administration (EDH)
EDH 5910 - Internship: Higher Ed Admin,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
EDH 5915 - Internship in Student Personnel Administration,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
EDH 5916 - Internship: College Teaching,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
EDH 5930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
EDH 5950 - Special Study for Written Comprehensive Exams,Credit(s): 0 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
EDH 5980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
EDH 6010 - Doctoral Residency,Credit(s): 0 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
EDH 6020 - Professional Seminar in Doctoral Studies in Higher Education,Credit(s): 1 Credit,NaN,NaN,Higher Education Administration (EDH)
EDH 6040 - Universal Design in Higher Education: Principles and Practices,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 6050 - Disability in Higher Education & Society,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 6060 - Disability Administration in Higher Education,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 6080 - Disability Social Justice Theory in Higher Education,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 6150 - Organization and Administration of Higher Education,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
"EDH 6350 - College Student Choice, Access, and Success",Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 6450 - Policy Studies in Higher Education,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 6580 - Financial Admin in Higher Educ,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 6600 - Curriculum in Higher Education,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 6640 - Social Theory & Social Justice in Higher Education,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 6700 - College Teaching,Credit(s): 3 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 6925 - Higher Education Student Society,Credit(s): 0 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 6930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
EDH 6950 - Special Study for Written Comprehensive Exams,Credit(s): 0 Credits,NaN,NaN,Higher Education Administration (EDH)
EDH 6960 - Project Guidance,Credit(s): 0-4 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
EDH 6970 - Research Topics in Higher Ed,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
EDH 6980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
EDH 6990 - Dissertation Research,Credit(s): 0-6 Credits (Repeatable for credit),NaN,NaN,Higher Education Administration (EDH)
HIST 1110 - Origins of the Modern World to 1500,Credit(s): 0 or 3 Credits,NaN,NaN,History (HIST)
HIST 1120 - Origins of the Modern World (1500 to Present),Credit(s): 0 or 3 Credits,NaN,NaN,History (HIST)
"HIST 1121 - Utopias, Declarations, and Manifestos: Constructing Modern Worlds",Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 1200 - Communicating About History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 1600 - History of the United States of America to 1865,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 1610 - History of the United States Since 1865,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 1630 - History of St. Louis,Credit(s): 3 Credits,NaN,NaN,History (HIST)
"HIST 1700 - China and Japan To 1600: Histories, Cultures, Identities",Credit(s): 3 Credits,NaN,NaN,History (HIST)
"HIST 1710 - China and Japan Since 1600: Samurai, Revolutionaries, Entrepreneurs",Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 1730 - Who Were the Romans?,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 1740 - Peoples and Pandemics in History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 1930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 1980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 2400X - Immigration in U.S. History and Culture,Credit(s): 0 or 3 Credits,NaN,NaN,History (HIST)
HIST 2730 - Crossroads of the World: The Middle East and North Africa Through History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 2800 - Historian's Craft: Methods Proseminar,Credit(s): 3 Credits,"HIST 1110, HIST 1120",NaN,History (HIST)
HIST 2930 - Special Topics,Credit(s): 0-3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 2980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 3000 - Ancient Greece,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3015 - Homer Between Myth and History,Credit(s): 3 Credits,"CORE 1000, CORE 1500",Concurrent enrollment allowed.,History (HIST)
HIST 3020 - The Roman Empire,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3025 - Women & Power in Ancient Rome,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3030 - The Byzantine World: Faith and Power in a Thousand-Year Empire,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3040 - From Barbarians to Crusaders: Europe in the Early Middle Ages,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3045 - Medieval Archaeology,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3046 - Medieval Castles in History and Archaeology,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3047 - Medieval England,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3050 - From Cathedrals to Printing Presses: Europe in the Late Middle Ages,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3060 - The Crusades,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3070 - Catholic Traditions to 1540,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3080 - Catholicism Since 1540,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3090 - The Age of Renaissance,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3100 - The Reformation Era,Credit(s): 3 Credits,NaN,NaN,History (HIST)
"HIST 3120 - French Revolution and Napoleon, 1789-1815",Credit(s): 3 Credits,NaN,NaN,History (HIST)
"HIST 3140 - Twentieth Century Europe: Era of World Wars, 1914-1945",Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3150 - Europe since 1945,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3160 - Eastern Europe,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3170 - Colonial Latin America,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3220 - Jesuits and Their Worlds,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3240 - Africa since 1884,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3250 - World in Conflict Since 1945,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3280 - Russia to 1905,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3290 - Russia Since 1905,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3305 - Nazi Germany,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3320 - Early Modern History of Spain:1469-1818,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3330 - Modern History Spain:1808-Pres,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3335 - History of Language Sciences in Spain,Credit(s): 3 Credits,"HIST 1110, HIST 1120",NaN,History (HIST)
HIST 3340 - The Spanish Civil War,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3390 - Seeds of Empires: An Introduction to Food History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3420 - The Atlantic World,Credit(s): 3 Credits,NaN,NaN,History (HIST)
"HIST 3480 - U.S. Civil War and Reconstruction, 1850-1877",Credit(s): 3 Credits,NaN,NaN,History (HIST)
"HIST 3500 - Progressive Era to the Jazz Age, 1890-1920",Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3580 - American Slavery,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3590 - American Women,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3600 - U.S. History in Film,Credit(s): 3 Credits,NaN,NaN,History (HIST)
"HIST 3610 - Civil Rights in America, 1865-1965",Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3640 - History of the American West,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3660 - History of Nature in America,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3700 - U.S. Constitutional History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3720 - Cultural Encounters 1500-1700,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3740 - The British Empire,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3760 - Medieval Spain,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3770 - History of the Jews in Spain,Credit(s): 3 Credits,NaN,NaN,History (HIST)
"HIST 3780 - The Making of the Spanish Nation: Identity, Myth & History",Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 3910 - Internship,Credit(s): 1-6 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 3930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 3980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 4900 - Seminar in European History,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 4901 - Sem: American History,Credit(s): 3 Credits (Repeatable up to 6 credits),NaN,NaN,History (HIST)
HIST 4902 - Seminar in World History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 4910 - Internship/History in Practice,Credit(s): 1-6 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 4911 - Internship: Teaching Assistant,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 4930 - Special Topics in History,Credit(s): 3-4 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 4980 - Advanced Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 4990 - History Senior Thesis Prep,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 4991 - History Senior Thesis,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 5000 - Theory & Practice of History: An Introduction,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 5200 - Ancient & Byzantine History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 5210 - Advanced Ancient & Byzantine History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 5250 - Perspectives: Late Ancient and Byzantine History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 5300 - Studies Medieval History,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 5310 - Advanced Studies in Medieval History,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 5350 - Perspectives in Medieval History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 5400 - Studies in Early Modern European History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 5410 - Advanced Studies in Early Modern European History,Credit(s): 3 Credits (Repeatable up to 9 credits),NaN,NaN,History (HIST)
HIST 5450 - Perspectives in Renaissance & Reformation History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 5500 - Studies in Modern European History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 5510 - Advanced Studies in Modern European History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 5550 - Perspectives in Modern European History,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 5600 - Studies in American History,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 5610 - Advanced Studies in American History,Credit(s): 3 Credits (Repeatable up to 15 credits),NaN,NaN,History (HIST)
HIST 5650 - Perspectives in American History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 5700 - Themes and Methods in World History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 5710 - Advanced Studies in World History,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 5900 - History Teaching Practicum,Credit(s): 0 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 5930 - Special Topics in History,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 5970 - Research Topics,Credit(s): 1-3 Credits,NaN,NaN,History (HIST)
HIST 5980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 5990 - Thesis Research,Credit(s): 0-6 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 6800 - Seminar in Ancient & Byzantine History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 6810 - Seminar Medieval History,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 6820 - Seminar: Early Modern European History,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 6830 - Seminar in Modern European History,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 6840 - Seminar in American History,Credit(s): 3 Credits (Repeatable up to 12 credits),NaN,NaN,History (HIST)
HIST 6870 - Research Seminar in World History,Credit(s): 3 Credits (Repeatable up to 6 credits),NaN,NaN,History (HIST)
HIST 6900 - Professional Writing for Historians I,Credit(s): 3 Credits,NaN,NaN,History (HIST)
HIST 6901 - Professional Writing for Historians II,Credit(s): 3 Credits,HIST 6900,NaN,History (HIST)
HIST 6930 - Special Topics in History,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 6970 - Research Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 6980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HIST 6990 - Dissertation Research,Credit(s): 0-6 Credits (Repeatable for credit),NaN,NaN,History (HIST)
HR 1980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Honors (HR)
HR 2800 - Honors Seminar: Our Common Home,Credit(s): 3 Credits,NaN,NaN,Honors (HR)
HR 2930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Honors (HR)
HR 2980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Honors (HR)
HR 3930 - Special Topics,Credit(s): 1-4 Credits (Repeatable for credit),NaN,NaN,Honors (HR)
HR 3980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Honors (HR)
HR 4000 - Honors Collaborative Inquiry: The Scholar in Society,Credit(s): 3 Credits (Repeatable for credit),"CORE 1000, CORE 1500",Concurrent enrollment allowed.,Honors (HR)
"HR 4010 - Honors Cultivating Wellness in Mind, Body, and Spirit",Credit(s): 0 Credits,NaN,NaN,Honors (HR)
HR 4810 - Honors Teaching Assistantship,Credit(s): 0-3 Credits,CORE 1500,Concurrent enrollment allowed.,Honors (HR)
HR 4820 - Honors Study Abroad,Credit(s): 1 Credit (Repeatable for credit),CORE 1500,Concurrent enrollment allowed.,Honors (HR)
HR 4840 - Honors Research,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Honors (HR)
HR 4850 - Honors International Partnership,Credit(s): 0-1 Credits (Repeatable up to 3 credits),NaN,NaN,Honors (HR)
HR 4860 - Honors Professional Development and Vocational Discernment,Credit(s): 1 Credit,"CORE 1500, CORE 1500, CORE 1500, CORE 1500, CORE 1500, CORE 1500, CORE 1500",NaN,Honors (HR)
HR 4910 - Honors Internship,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Honors (HR)
HR 4960 - Honors Senior Capstone,Credit(s): 0-3 Credits (Repeatable for credit),NaN,NaN,Honors (HR)
HR 4980 - Honors Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Honors (HR)
HMGT 3000 - Introduction to Hospitality Operations,Credit(s): 3 Credits,,NaN,Hospitality Management (HMGT)
HMGT 3200 - Event Management,Credit(s): 3 Credits,,NaN,Hospitality Management (HMGT)
HMGT 3400 - Branding the Customer Experience,Credit(s): 3 Credits,,NaN,Hospitality Management (HMGT)
HMGT 3600 - Hospitality Technology,Credit(s): 3 Credits,,NaN,Hospitality Management (HMGT)
HMGT 3930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Hospitality Management (HMGT)
HMGT 4200 - Hospitality Administration,Credit(s): 3 Credits,,NaN,Hospitality Management (HMGT)
HMGT 4930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Hospitality Management (HMGT)
HMGT 4960 - Hospitality Capstone,Credit(s): 3 Credits,"HMGT 3000, HMGT 3200, HMGT 3400, HMGT 3600, HMGT 4200",NaN,Hospitality Management (HMGT)
HMGT 4980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Hospitality Management (HMGT)
HUM 1500 - Engaging the Human Experience,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Humanities (HUM)
HUM 1930 - Special Topics,Credit(s): 1-4 Credits (Repeatable for credit),NaN,NaN,Humanities (HUM)
HUM 2000 - Ethics of Writing,Credit(s): 3 Credits,PST 1500,NaN,Humanities (HUM)
HUM 2100 - Cultivating Intellectual Virtues for Lifelong Learning,Credit(s): 3 Credits,NaN,NaN,Humanities (HUM)
HUM 2150 - How to Think Critically,Credit(s): 3 Credits,NaN,NaN,Humanities (HUM)
HUM 2930 - Special Topics,Credit(s): 1-4 Credits (Repeatable for credit),NaN,NaN,Humanities (HUM)
HUM 2980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Humanities (HUM)
HUM 3300 - Then and Now: Thinking Historically,Credit(s): 3 Credits,,NaN,Humanities (HUM)
HUM 3400 - Creative Thinking: Cultivating an Imaginative Mind,Credit(s): 3 Credits,NaN,NaN,Humanities (HUM)
HUM 3450 - Interpreting Texts,Credit(s): 3 Credits,NaN,NaN,Humanities (HUM)
HUM 3500 - Writing in a Digital Age,Credit(s): 3 Credits,NaN,NaN,Humanities (HUM)
HUM 4100 - Engaging Difference in a Pluralistic World,Credit(s): 3 Credits,"CORE 1905, HUM 2100",NaN,Humanities (HUM)
HUM 4200 - Working for the Common Good,Credit(s): 3 Credits,CORE 1605,NaN,Humanities (HUM)
HUM 4800 - General Studies Capstone,Credit(s): 3 Credits,NaN,NaN,Humanities (HUM)
HUM 4930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Humanities (HUM)
HUM 4980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Humanities (HUM)
SERV 1000 - Ignatian Spirituality and Service,Credit(s): 0 or 3 Credits,CORE 1500,Concurrent enrollment allowed.,Ignatian Service (SERV)
SERV 2930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Ignatian Service (SERV)
SERV 3000 - Ignatian Leadership and Service,Credit(s): 3 Credits,CORE 1500,Concurrent enrollment allowed.,Ignatian Service (SERV)
SERV 4960 - Capstone: Ignatian Vocation and Service,Credit(s): 3 Credits,SERV 1000,NaN,Ignatian Service (SERV)
"IPT 0100 - Principles of Immunology, Pharmacology, and Therapeutics",Credit(s): 2-20 Credits (Repeatable for credit),NaN,NaN,"Immunology, Pharmacology, and Therapeutics (IPT)"
IS 5000 - Enterprise Architecture and Systems Infrastructure,Credit(s): 0 or 3 Credits,NaN,NaN,Information Systems (IS)
IS 5010 - Financial Technologies,Credit(s): 3 Credits,NaN,NaN,Information Systems (IS)
IS 5020 - Blockchain Technologies,Credit(s): 3 Credits,NaN,NaN,Information Systems (IS)
IS 5030 - Building Blockchain Applications,Credit(s): 3 Credits,IS 5010,NaN,Information Systems (IS)
IS 5040 - Applications of Cryptocurrency,Credit(s): 3 Credits,IS 5010,NaN,Information Systems (IS)
IS 5100 - Information Systems Strategy and Management,Credit(s): 0 or 3 Credits,IS 5000,NaN,Information Systems (IS)
IS 5200 - Software Development,Credit(s): 0 or 3 Credits,"IS 5000, IS 5100",NaN,Information Systems (IS)
IS 5300 - Ethical and Societal Implications of Technology,Credit(s): 0 or 3 Credits,IS 5000,NaN,Information Systems (IS)
IS 5400 - Managing a Secure Enterprise,Credit(s): 0 or 3 Credits,IS 5000,NaN,Information Systems (IS)
IS 5500 - Advanced Software Development,Credit(s): 0 or 3 Credits,IS 5000,NaN,Information Systems (IS)
